"filename", "language", "JavaScript", "Markdown", "Vue", "JSON", "HTML", "CSS", "Less", "XML", "comment", "blank", "total"
"f:\waterManager\water_admin\README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"f:\waterManager\water_admin\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"f:\waterManager\water_admin\package-lock.json", "JSON", 0, 0, 0, 11562, 0, 0, 0, 0, 0, 1, 11563
"f:\waterManager\water_admin\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"f:\waterManager\water_admin\public\index.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 11, 1, 31
"f:\waterManager\water_admin\public\static\lib\echarts.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 18, 4, 23
"f:\waterManager\water_admin\public\static\map\china-cities.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\china-contour.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\china.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\anhui.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\aomen.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\beijing.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\chongqing.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\fujian.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\gansu.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\guangdong.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\guangxi.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\guizhou.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\hainan.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\hebei.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\heilongjiang.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\henan.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\hubei.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\hunan.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\jiangsu.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\jiangxi.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\jilin.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\liaoning.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\neimenggu.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\ningxia.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\qinghai.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\shandong.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\shanghai.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\shanxi.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\shanxi1.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\sichuan.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\taiwan.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\tianjin.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\xianggang.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\xinjiang.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\xizang.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\yunnan.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\province\zhejiang.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\map\world.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\waterManager\water_admin\public\static\theme\chalk.js", "JavaScript", 518, 0, 0, 0, 0, 0, 0, 0, 3, 1, 522
"f:\waterManager\water_admin\public\static\theme\vintage.js", "JavaScript", 518, 0, 0, 0, 0, 0, 0, 0, 3, 1, 522
"f:\waterManager\water_admin\src\App.vue", "Vue", 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"f:\waterManager\water_admin\src\CSS\HelloWord.css", "CSS", 0, 0, 0, 0, 0, 88, 0, 0, 8, 24, 120
"f:\waterManager\water_admin\src\CSS\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\waterManager\water_admin\src\CSS\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
